Part;Value;Device
C1;100n;C-EU050-025X075
C2;100p;C-EU050-025X075
C3;10u;CPOL-USE2.5-6
C4;100n;C-EU050-025X075
C5;47u;CPOL-USE2.5-6
C6;100n;C-EU050-025X075
C7;100p;C-EU050-025X075
C8;100u;CPOL-USE2.5-6
C9;100n;C-EU050-025X075
C10;1u;C-EU050-055X075
C11;10n;C-EU050-025X075
C12;1n;C-EU050-025X075
C13;2n2;C-EU050-025X075
C14;100n;C-EU050-025X075
C15;100n;C-EU050-025X075
C16;100u;CPOL-USE2.5-6
C17;4n7;C-EU050-025X075
C18;10u;CPOL-USE2.5-6
C19;1u;C-EU050-055X075
C20;10n;C-EU050-025X075
C21;100n;C-EU050-025X075
C22;100p;C-EU050-025X075
C23;1u;C-EU050-055X075
C24;2u2;CPOL-USE2.5-6
C25;1u;C-EU050-055X075
C26;47u;CPOL-USE2.5-6
D1;1N5817;DO41.3
D2;LED.3;LED.3
D3;1N4148;DO35.2
D4;1N4148;DO35.2
D5;1N4148;DO35.2
D6;1N4148;DO35.2
D7;Diff_Red;LED.3
D8;Diff_Red;LED.3
FB;B50k;16MM.1
IC1;TL072P;TL072P
IC2;TL074P;TL074P
IC3;PT2399;PT2399_TH
IC4;78L05Z;78L05Z
IN;LSP10;LSP10
LDR1;KE-10720;LDR1
MIX;B100k;16MM.1
R1;1M;R-US_0204/5
R2;100k;R-US_0204/5
R3;100k;R-US_0204/5
R4;10k;R-US_0204/5
R5;RLED;R-US_0204/5
R6;1k;R-US_0204/5
R7;220k;R-US_0204/5
R8;4k7;R-US_0204/5
R9;10k;R-US_0204/5
R10;10k;R-US_0204/5
R11;10k;R-US_0204/5
R12;10k;R-US_0204/5
R13;10k;R-US_0204/5
R14;10k;R-US_0204/5
R15;22k;R-US_0204/5
R16;4k7;R-US_0204/5
R17;2k2;R-US_0204/5
R18;22k;R-US_0204/5
R19;10k;R-US_0204/5
R20;10k;R-US_0204/5
R21;1k;R-US_0204/5
R22;100k;R-US_0204/5
R23;100k;R-US_0204/5
R24;10k;R-US_0204/5
REL;B100k;16MM.1
SENS;B50k;16MM.1
TIME;B50k;16MM.1
U1;TC1044SCPA;TC1044SCPA
